milestone,code,sub_code,detailed_explanation
return_centre,inspection,started,The inspection of the shipment / parcel have started.
return_centre,inspection,approved,The shipment / parcel have been inspected and approved by the return centre.
return_centre,inspection,faulty_items_missing,The shipment / parcel has been inspected and items are missing that should have been included in the parcel.
return_centre,inspection,faulty_items_damaged,The shipment / parcel has been inspected and items included in the parcel are damaged.
return_centre,inspection,faulty_wrong_items,"The shipment / parcel has been inspected and the wrong items from the original order were returned, i.e. the customer registered a return for one item but returned another."
return_centre,inspection,faulty_empty,The shipment / parcel has been inspected and there are no items at all in it.
return_centre,inspection,faulty_unknown_objects,The shipment / parcel has been inspected and there are unknown objects included in it.
return_centre,inspection,faulty_other,The shipment / parcel has been inspected and there are some othe faulty with it.
return_centre,departed,other,The shipment / parcel have departed the returns processing centre
delivery,admin,other,The shipment / parcel has received an administrative update from the carrier.
delivery,out_for_delivery,other,The shipment / parcel is out for delivery.
delivery,notification,other,The carrier have notified the customer about the delivery.
delivery,notification,email,The carrier have emailed the customer with details about the delivery.
delivery,notification,text,The carrier have texted the customer with details about the delivery.
delivery,notification,voice,The carrier have called the customer with details about the delivery.
delivery,notification,letter,The carrier have sent a letter to the customer with details about the delivery.
delivery,change,address,The delivery address has been changed by the customer
delivery,change,date,The delivery date has been changed by the customer
delivery,change,service,The delivery service has been changed by the customer (e.g. from standard to express)
delivery,attempt,other,A delivery attempt was made.
delivery,attempt,access_restricted,"The delivery attempt was made, but access to the address was restricted (e.g., gated community, locked building)."
delivery,attempt,incorrect_address,Delivery failed because the address was wrong.
delivery,attempt,due_to_security,Delivery failed because of security issues.
delivery,attempt,warehouse_closed,"The delivery attempt was made, but the warehouse was closed."
delivery,attempt,access_denied,"The delivery attempt was made, but access to the warehouse was denied."
delivery,attempt,no_receiving_staff,"The delivery attempt was made, but no receiving staff was available at the warehouse."
delivery,attempt,incorrect_address,"The delivery attempt was made, but the address was incorrect."
delivery,attempt,restricted_access_hours,The delivery attempt was made outside the warehouse's receiving hours.
delivery,attempt,partial_delivery_only,"The delivery attempt was made, but only a partial delivery could be made due to space or capacity issues."
delivery,attempt,left_notice,"The delivery attempt was made, and a notice was left for the warehouse to arrange re-delivery or pickup."
delivery,attempt,paperwork_incomplete,"The delivery attempt was made, but the necessary paperwork was incomplete."
delivery,attempt,security_check_failed,"The delivery attempt was made, but the delivery failed due to security check issues at the warehouse."
delivery,attempt,warehouse_full,"The delivery attempt was made, but the warehouse was full and unable to receive more shipments."
delivery,attempt,unresponsive_contact,"The delivery attempt was made, but the contact person at the warehouse was unresponsive."
delivery,delivered,other,The carrier have sent a tracking event indicating the shipment / parcel have been delivered to the destination.
delivery,delivered,to_depot,The shipment / parcel has been delivered to a local depot where the receiver can collect it from.
post_delivery,rating,nps,The receiver have given a NPS (Net Promoter Score) to rate their delivery experience
post_delivery,rating,other,The receiver have given a rating of their delivery experience.
admin,other,other,A general administrative update from the carrier.
