milestone,event,sub_event,detailed_explanation
delivery,attempt,access_restricted,"The delivery attempt was made, but access to the address was restricted (e.g., gated community, locked building)."
delivery,attempt,recipient_no_longer_lives_here,The delivery was attempted but receiver no longer lives at the address
delivery,attempt,refused_by_recipient,The delivery was attempted but the recipient refused to take the parcel.
delivery,attempt,recipient_unavailable,"The delivery attempt was made, but there was no answer at the address (e.g. called receiver / used buzzer but nobody answered)."
delivery,attempt,no_safe_location,Delivery attempted but there was no safe location to leave the parcel.
delivery,attempt,incorrect_address,Delivery failed because the address was wrong.
delivery,attempt,due_to_security,Delivery failed because of security issues.
delivery,attempt,warehouse_closed,"The delivery attempt was made, but the warehouse was closed."
delivery,attempt,access_denied,"The delivery attempt was made, but access to the warehouse was denied."
delivery,attempt,no_receiving_staff,"The delivery attempt was made, but no receiving staff was available at the warehouse."
delivery,attempt,incorrect_address,"The delivery attempt was made, but the address was incorrect."
delivery,attempt,restricted_access_hours,The delivery attempt was made outside the warehouse's receiving hours.
delivery,attempt,partial_delivery_only,"The delivery attempt was made, but only a partial delivery could be made due to space or capacity issues."
delivery,attempt,left_notice,"The delivery attempt was made, and a notice was left for the warehouse to arrange re-delivery or pickup."
delivery,attempt,paperwork_incomplete,"The delivery attempt was made, but the necessary paperwork was incomplete."
delivery,attempt,security_check_failed,"The delivery attempt was made, but the delivery failed due to security check issues at the warehouse."
delivery,attempt,warehouse_full,"The delivery attempt was made, but the warehouse was full and unable to receive more shipments."
delivery,attempt,unresponsive_contact,"The delivery attempt was made, but the contact person at the warehouse was unresponsive."
delivery,delivered,other,The carrier have sent a tracking event indicating the shipment / parcel have been delivered but without sufficient detail to determine what sub_event category it fits.
delivery,delivered,to_depot,The shipment / parcel has been delivered to a local carrier depot where the receiver can collect it from.
delivery,delivered,with_signature,The shipment / parcel has been delivered and signed for.
delivery,delivered,left_with_neighbor,The shipment / parcel has been left with a neighbor.
delivery,delivered,left_in_safe_place,The shipment / parcel has been left in a safe place like your porch.
delivery,delivered,parcel_locker,The shipment / parcel has been placed in a parcel locker ready for pickup.
delivery,delivered,pudo_point,The shipment / parcel have been delivered to a pickup / dropoff location.
delivery,delivered,post_office,The shipment / parcel have been delivered to a local post office.
post_delivery,collected,by_receiver,"The shipment / parcel have been collected by the receiver from its final delivery point (e.g. the receiver have collected the parcel from a locker, pudo location or similar)."
post_delivery,rating,nps,The receiver have given a NPS (Net Promoter Score) to rate their delivery experience
post_delivery,rating,other,The receiver have given a rating of their delivery experience.
return_to_sender,initiated,other,The parcel could not be delivered and the RTS (Return-to-sender) process have been initiated.
return_to_sender,initiated,damaged_label,Due to a damaged label the parcel could not be delivered and the RTS process have been initiated.
return_to_sender,initiated,undeliverable,The carrier attempted to delivery the parcel but failed and the RTS process have been initiated.
return_to_sender,initiated,not_collected,The parcel was not collected by the recipient from the PUDO points or parcel locker and the RTS process have been initiated.
return_to_sender,in_transit,held_waiting_for_instructions,The parcel is being held at the local depot awaiting further instructions.
return_to_sender,in_transit,preparing_for_return,The parcel is being prepared to be returned to the sender.
return_to_sender,in_transit,return_in_transit,The parcel is in transit back to the sender.
return_to_sender,customs_clearance,customs_check,The parcel is undergoing customs clearance procedures.
return_to_sender,carrier_facility,return_depot,The parcel has arrived at the carrier's return depot.
return_to_sender,delivery,returned_to_sender,The parcel has been successfully returned to the sender.
admin,other,other,A general administrative update from the carrier.
